case_number,decision_type,judge_names,verdict_derived
070-CR-0180,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
070-CR-0181,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
070-CR-0183,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
070-CR-0184,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
070-CR-0185,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
070-CR-0186,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
070-CR-0187,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
070-CR-0188,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0001,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0002,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0003,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0004,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0005,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0006,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0007,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0008,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0009,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0010,ठहर,अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई सदस्य माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी,True
071-CR-0011,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0012,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0013,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0014,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0015,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0016,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0017,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0018,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0019,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
071-CR-0020,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0021,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0022,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
071-CR-0023,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0024,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी
अध्यक्ष माननीय न्यायाधीश श्री चण्डीराज ढकाल",False
071-CR-0025,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0026,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0027,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
071-CR-0028,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0029,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0030,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0031,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0032,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0033,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0034,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0035,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0036,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0037,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0038,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0039,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0041,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0042,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0043,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0044,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0045,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0046,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0047,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0048,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0050,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0051,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0052,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0053,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0054,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0055,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0056,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0057,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0058,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0059,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0060,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0061,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0062,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0063,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0064,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0065,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0066,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0067,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी",False
071-CR-0068,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0069,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0070,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0071,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी
अध्यक्ष माननीय न्यायाधीश श्री द्वारिकामान जोशी
अध्यक्ष माननीय न्यायाधीश श्री प्रमोदकुमार श्रेष्ठ वैद्य",False
071-CR-0072,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0073,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0074,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0075,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी
अध्यक्ष माननीय न्यायाधीश श्री चण्डीराज ढकाल
अध्यक्ष माननीय न्यायाधीश श्री नारायणप्रसाद पोखरेल",False
071-CR-0076,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0077,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी",False
071-CR-0078,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0079,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0080,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0081,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0082,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0083,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0084,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0085,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
071-CR-0086,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0087,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0088,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0089,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0090,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0091,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0092,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री बाबुराम रेग्मी",False
071-CR-0093,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0094,सफाई,इजलास अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई सदस्य माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी सदस्य माननीय न्यायाधीश श्री प्रभा बस्नेत,True
071-CR-0095,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0096,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0097,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0098,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी",False
071-CR-0099,ठहर,इजलास अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई सदस्य माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी,True
071-CR-0100,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0101,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0102,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0103,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
071-CR-0104,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0105,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई
अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
071-CR-0106,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री नरेन्द्र कुमार शिवाकोटी
अध्यक्ष माननीय न्यायाधीश श्री प्रभा बस्नेत",False
